0, daa 0, flags 246
fe, daa 64, flags 213
ff, daa 65, flags 217
0, daa 60, flags 207
1, daa 61, flags 203
2, daa 62, flags 203
3, daa 63, flags 207
4, daa 64, flags 203
5, daa 65, flags 207
6, daa 66, flags 207
7, daa 67, flags 203
8, daa 68, flags 203
9, daa 69, flags 207
a, daa 70, flags 213
b, daa 71, flags 217
c, daa 72, flags 217
d, daa 73, flags 213
e, daa 74, flags 217
f, daa 75, flags 213
10, daa 70, flags 203
11, daa 71, flags 207
12, daa 72, flags 207
13, daa 73, flags 203
14, daa 74, flags 207
15, daa 75, flags 203
16, daa 76, flags 203
17, daa 77, flags 207
18, daa 78, flags 207
19, daa 79, flags 203
1a, daa 80, flags 293
1b, daa 81, flags 297
1c, daa 82, flags 297
1d, daa 83, flags 293
1e, daa 84, flags 297
1f, daa 85, flags 293
20, daa 80, flags 283
21, daa 81, flags 287
22, daa 82, flags 287
23, daa 83, flags 283
24, daa 84, flags 287
25, daa 85, flags 283
26, daa 86, flags 283
27, daa 87, flags 287
28, daa 88, flags 287
29, daa 89, flags 283
2a, daa 90, flags 297
2b, daa 91, flags 293
2c, daa 92, flags 293
2d, daa 93, flags 297
2e, daa 94, flags 293
2f, daa 95, flags 297
30, daa 90, flags 287
31, daa 91, flags 283
32, daa 92, flags 283
33, daa 93, flags 287
34, daa 94, flags 283
35, daa 95, flags 287
36, daa 96, flags 287
37, daa 97, flags 283
38, daa 98, flags 283
39, daa 99, flags 287
3a, daa a0, flags 297
3b, daa a1, flags 293
3c, daa a2, flags 293
3d, daa a3, flags 297
3e, daa a4, flags 293
3f, daa a5, flags 297
40, daa a0, flags 287
41, daa a1, flags 283
42, daa a2, flags 283
43, daa a3, flags 287
44, daa a4, flags 283
45, daa a5, flags 287
46, daa a6, flags 287
47, daa a7, flags 283
48, daa a8, flags 283
49, daa a9, flags 287
4a, daa b0, flags 293
4b, daa b1, flags 297
4c, daa b2, flags 297
4d, daa b3, flags 293
4e, daa b4, flags 297
4f, daa b5, flags 293
50, daa b0, flags 283
51, daa b1, flags 287
52, daa b2, flags 287
53, daa b3, flags 283
54, daa b4, flags 287
55, daa b5, flags 283
56, daa b6, flags 283
57, daa b7, flags 287
58, daa b8, flags 287
59, daa b9, flags 283
5a, daa c0, flags 297
5b, daa c1, flags 293
5c, daa c2, flags 293
5d, daa c3, flags 297
5e, daa c4, flags 293
5f, daa c5, flags 297
60, daa c0, flags 287
61, daa c1, flags 283
62, daa c2, flags 283
63, daa c3, flags 287
64, daa c4, flags 283
65, daa c5, flags 287
66, daa c6, flags 287
67, daa c7, flags 283
68, daa c8, flags 283
69, daa c9, flags 287
6a, daa d0, flags 293
6b, daa d1, flags 297
6c, daa d2, flags 297
6d, daa d3, flags 293
6e, daa d4, flags 297
6f, daa d5, flags 293
70, daa d0, flags 283
71, daa d1, flags 287
72, daa d2, flags 287
73, daa d3, flags 283
74, daa d4, flags 287
75, daa d5, flags 283
76, daa d6, flags 283
77, daa d7, flags 287
78, daa d8, flags 287
79, daa d9, flags 283
7a, daa e0, flags 293
7b, daa e1, flags 297
7c, daa e2, flags 297
7d, daa e3, flags 293
7e, daa e4, flags 297
7f, daa e5, flags 293
80, daa e0, flags 283
81, daa e1, flags 287
82, daa e2, flags 287
83, daa e3, flags 283
84, daa e4, flags 287
85, daa e5, flags 283
86, daa e6, flags 283
87, daa e7, flags 287
88, daa e8, flags 287
89, daa e9, flags 283
8a, daa f0, flags 297
8b, daa f1, flags 293
8c, daa f2, flags 293
8d, daa f3, flags 297
8e, daa f4, flags 293
8f, daa f5, flags 297
90, daa f0, flags 287
91, daa f1, flags 283
92, daa f2, flags 283
93, daa f3, flags 287
94, daa f4, flags 283
95, daa f5, flags 287
96, daa f6, flags 287
97, daa f7, flags 283
98, daa f8, flags 283
99, daa f9, flags 287
9a, daa 0, flags 257
9b, daa 1, flags 213
9c, daa 2, flags 213
9d, daa 3, flags 217
9e, daa 4, flags 213
9f, daa 5, flags 217
a0, daa 0, flags 247
a1, daa 1, flags 203
a2, daa 2, flags 203
a3, daa 3, flags 207
a4, daa 4, flags 203
a5, daa 5, flags 207
a6, daa 6, flags 207
a7, daa 7, flags 203
a8, daa 8, flags 203
a9, daa 9, flags 207
aa, daa 10, flags 213
ab, daa 11, flags 217
ac, daa 12, flags 217
ad, daa 13, flags 213
ae, daa 14, flags 217
af, daa 15, flags 213
b0, daa 10, flags 203
b1, daa 11, flags 207
b2, daa 12, flags 207
b3, daa 13, flags 203
b4, daa 14, flags 207
b5, daa 15, flags 203
b6, daa 16, flags 203
b7, daa 17, flags 207
b8, daa 18, flags 207
b9, daa 19, flags 203
ba, daa 20, flags 213
bb, daa 21, flags 217
bc, daa 22, flags 217
bd, daa 23, flags 213
be, daa 24, flags 217
bf, daa 25, flags 213
c0, daa 20, flags 203
c1, daa 21, flags 207
c2, daa 22, flags 207
c3, daa 23, flags 203
c4, daa 24, flags 207
c5, daa 25, flags 203
c6, daa 26, flags 203
c7, daa 27, flags 207
c8, daa 28, flags 207
c9, daa 29, flags 203
ca, daa 30, flags 217
cb, daa 31, flags 213
cc, daa 32, flags 213
cd, daa 33, flags 217
ce, daa 34, flags 213
cf, daa 35, flags 217
d0, daa 30, flags 207
d1, daa 31, flags 203
d2, daa 32, flags 203
d3, daa 33, flags 207
d4, daa 34, flags 203
d5, daa 35, flags 207
d6, daa 36, flags 207
d7, daa 37, flags 203
d8, daa 38, flags 203
d9, daa 39, flags 207
da, daa 40, flags 213
db, daa 41, flags 217
dc, daa 42, flags 217
dd, daa 43, flags 213
de, daa 44, flags 217
df, daa 45, flags 213
e0, daa 40, flags 203
e1, daa 41, flags 207
e2, daa 42, flags 207
e3, daa 43, flags 203
e4, daa 44, flags 207
e5, daa 45, flags 203
e6, daa 46, flags 203
e7, daa 47, flags 207
e8, daa 48, flags 207
e9, daa 49, flags 203
ea, daa 50, flags 217
eb, daa 51, flags 213
ec, daa 52, flags 213
ed, daa 53, flags 217
ee, daa 54, flags 213
ef, daa 55, flags 217
f0, daa 50, flags 207
f1, daa 51, flags 203
f2, daa 52, flags 203
f3, daa 53, flags 207
f4, daa 54, flags 203
f5, daa 55, flags 207
f6, daa 56, flags 207
f7, daa 57, flags 203
f8, daa 58, flags 203
f9, daa 59, flags 207
fa, daa 60, flags 217
fb, daa 61, flags 213
fc, daa 62, flags 213
